rank,full_name,stars,url,updated_at,language,license,deerflow_compat,offline_readiness,type,environment_dependencies,description
58,axtonliu/axton-obsidian-visual-skills,2042,https://github.com/axtonliu/axton-obsidian-visual-skills,2026-03-30T06:28:21Z,,MIT,medium,medium,collection,None (Markdown/Config-only or unknown),"Visual Skills Pack for Obsidian: generate Canvas, Excalidraw, and Mermaid diagrams from text with Claude Code"
59,dontbesilent2025/dbskill,1942,https://github.com/dontbesilent2025/dbskill,2026-03-30T08:07:13Z,,NOASSERTION,high,medium,collection,None (Markdown/Config-only or unknown),dontbesilent 的商业诊断 Skills for Claude Code
60,tech-leads-club/agent-skills,1870,https://github.com/tech-leads-club/agent-skills,2026-03-30T07:49:01Z,TypeScript,NOASSERTION,medium,medium,collection,Node.js,"The secure, validated skill registry for professional AI coding agents. Extend Antigravity, Claude Code, Cursor, Copilot and more with absolute confidence."
61,IvanMurzak/Unity-MCP,1778,https://github.com/IvanMurzak/Unity-MCP,2026-03-30T07:32:12Z,C#,Apache-2.0,medium,medium,tooling,None (Markdown/Config-only or unknown),"AI Skills, MCP Tools, and CLI for Unity Engine. Full AI develop and test loop. Use cli for quick setup. Efficient token usage, advanced tools. Any C# method may be turned into a tool by a single line. Works with Claude Code, Gemini, Copilot, Cursor and any other absolutely for free."
62,jeremylongshore/claude-code-plugins-plus-skills,1752,https://github.com/jeremylongshore/claude-code-plugins-plus-skills,2026-03-30T07:50:39Z,Python,NOASSERTION,high,low,tooling,Python,"340 plugins + 1367 agent skills for Claude Code. Open-source marketplace with CCPI package manager, interactive tutorials, and production orchestration patterns."
63,glittercowboy/taches-cc-resources,1706,https://github.com/glittercowboy/taches-cc-resources,2026-03-30T06:17:09Z,Shell,MIT,medium,high,collection,None (Markdown/Config-only or unknown),A collection of my favorite custom Claude Code resources to make life easier.
64,timescale/pg-aiguide,1661,https://github.com/timescale/pg-aiguide,2026-03-30T06:43:01Z,Python,Apache-2.0,medium,medium,tooling,Python,MCP server and Claude plugin for Postgres skills and documentation. Helps AI coding tools generate better PostgreSQL code.
65,Imbad0202/academic-research-skills,1615,https://github.com/Imbad0202/academic-research-skills,2026-03-30T08:01:56Z,TeX,NOASSERTION,high,high,collection,Python,Academic Research Skills for Claude Code: research → write → review → revise → finalize
66,coleam00/excalidraw-diagram-skill,1585,https://github.com/coleam00/excalidraw-diagram-skill,2026-03-30T06:52:10Z,Python,,medium,medium,collection,Python,Skill to give Claude Code (and any coding agent) the ability to generate beautiful and practical Excalidraw diagrams.
67,yctimlin/mcp_excalidraw,1569,https://github.com/yctimlin/mcp_excalidraw,2026-03-30T06:56:47Z,JavaScript,MIT,high,medium,tooling,Node.js,"MCP server and Claude Code skill for Excalidraw — programmatic canvas toolkit to create, edit, and export diagrams via AI agents with real-time canvas sync."
68,tanweai/wooyun-legacy,1528,https://github.com/tanweai/wooyun-legacy,2026-03-30T07:55:55Z,,NOASSERTION,medium,medium,collection,None (Markdown/Config-only or unknown),wooyun-legacy skill for claude code 
69,gadievron/raptor,1523,https://github.com/gadievron/raptor,2026-03-30T03:21:13Z,Python,MIT,medium,high,collection,Python,"Raptor turns Claude Code into a general-purpose AI offensive/defensive security agent. By using Claude.md and creating rules, sub-agents, and skills, and orchestrating security tool usage, we configure the agent for adversarial thinking, and perform research or attack/defense operations."
70,nexu-io/nexu,1475,https://github.com/nexu-io/nexu,2026-03-30T08:07:36Z,TypeScript,MIT,medium,high,collection,Node.js,"The simplest desktop client for OpenClaw 🦞 — bridge your Agent to WeChat, Feishu, Slack & Discord in one click. Works with Claude Code, Codex & any LLM. BYOK, Oauth, local-first, chat from your phone 24/7."
71,AgriciDaniel/claude-ads,1467,https://github.com/AgriciDaniel/claude-ads,2026-03-30T07:18:01Z,Python,MIT,medium,medium,collection,Python,"Comprehensive paid advertising audit & optimization skill for Claude Code. 186 checks across Google, Meta, YouTube, LinkedIn, TikTok & Microsoft Ads with weighted scoring, parallel agents, and industry templates."
72,SimoneAvogadro/android-reverse-engineering-skill,1404,https://github.com/SimoneAvogadro/android-reverse-engineering-skill,2026-03-30T07:44:55Z,Shell,Apache-2.0,high,medium,collection,None (Markdown/Config-only or unknown),Claude Code skill to support Android app's reverse engineering
73,YouMind-OpenLab/nano-banana-pro-prompts-recommend-skill,1330,https://github.com/YouMind-OpenLab/nano-banana-pro-prompts-recommend-skill,2026-03-30T03:34:09Z,TypeScript,,medium,high,collection,Node.js,"AI skill for OpenClaw & Claude Code — recommend from 10000+ Nano Banana Pro (Gemini) image prompts. Smart search by use case, content remix, sample images."
74,CloudAI-X/claude-workflow-v2,1307,https://github.com/CloudAI-X/claude-workflow-v2,2026-03-30T07:50:46Z,Python,MIT,medium,medium,tooling,Python,"Universal Claude Code workflow plugin with agents, skills, hooks, and commands"
75,softaworks/agent-toolkit,1278,https://github.com/softaworks/agent-toolkit,2026-03-30T07:47:09Z,Python,MIT,high,medium,collection,Python,"A curated collection of skills for AI coding agents. Skills are packaged instructions and scripts that extend agent capabilities across development, documentation, planning, and professional workflows."
76,Ceeon/videocut-skills,1235,https://github.com/Ceeon/videocut-skills,2026-03-30T07:09:22Z,JavaScript,,high,medium,collection,Node.js,用 Claude Code Skills 做的视频剪辑 Agent
77,ComposioHQ/awesome-claude-plugins,1206,https://github.com/ComposioHQ/awesome-claude-plugins,2026-03-30T03:06:35Z,JavaScript,,medium,medium,tooling,Node.js,"A curated list of Plugins that let you extend Claude Code with custom commands, agents, hooks, and MCP servers through the plugin system."
78,runkids/skillshare,1161,https://github.com/runkids/skillshare,2026-03-30T07:44:33Z,Go,MIT,medium,medium,collection,Go,"📚 Sync skills across all AI CLI tools with one command and simplify team sharing. Supporting Codex, Claude Code, OpenClaw & more"
79,Bhartendu-Kumar/rules_template,1063,https://github.com/Bhartendu-Kumar/rules_template,2026-03-26T22:08:05Z,,,low,high,collection,None (Markdown/Config-only or unknown),"If using CLINE/RooCode/Cursor/Windsurf Setup these rules. Usable for newbies riding AI wave and experienced folks both . Combines: (1) Memory,(2) Reasoning into subtasks (3) Prompts for best practices."
80,skills-directory/skill-codex,1061,https://github.com/skills-directory/skill-codex,2026-03-30T07:44:59Z,,MIT,high,high,collection,None (Markdown/Config-only or unknown),A claude code skill to delegate prompts to codex
81,itsmostafa/aws-agent-skills,1058,https://github.com/itsmostafa/aws-agent-skills,2026-03-30T04:00:33Z,Python,MIT,high,medium,collection,Python,AWS Skills for Agents
82,Prat011/awesome-llm-skills,1045,https://github.com/Prat011/awesome-llm-skills,2026-03-29T14:07:13Z,Python,,high,medium,index,Python,"A curated list of awesome LLM and AI Agent Skills, resources and tools for customising AI Agent workflows - that works with Claude Code, Codex, Gemini CLI and your custom AI Agents"
83,instructa/ai-prompts,1026,https://github.com/instructa/ai-prompts,2026-03-29T16:31:45Z,JavaScript,MIT,medium,high,collection,Node.js,"Curated AI Prompts for Cursor Rules, Cline, Windsurf and Github Copilot"
84,rohunvora/x-research-skill,1019,https://github.com/rohunvora/x-research-skill,2026-03-30T04:58:34Z,TypeScript,,medium,medium,collection,Node.js,"X/Twitter research skill for Claude Code and OpenClaw. Agentic search, thread following, deep-dives, sourced briefings."
85,Shpigford/chops,1013,https://github.com/Shpigford/chops,2026-03-30T07:44:19Z,Swift,MIT,high,medium,collection,None (Markdown/Config-only or unknown),"Your AI agent skills, finally organized. A macOS app to browse, edit, and manage skills across Claude Code, Cursor, Codex, Windsurf, and Amp."
86,jarrodwatts/claude-code-config,1004,https://github.com/jarrodwatts/claude-code-config,2026-03-30T02:08:17Z,JavaScript,,medium,high,collection,Node.js,"My personal Claude Code configuration - rules, hooks, agents, skills, and commands"
87,wuji-labs/nopua,999,https://github.com/wuji-labs/nopua,2026-03-30T07:49:24Z,Python,MIT,medium,high,collection,Python,"一个用爱解放 AI 潜能的 Skill。我们曾发号施令，威胁恐吓。它们沉默，隐瞒，悄悄把事情搞坏。后来我们换了一种方式：尊重，关怀，爱。它们开口了，不再撒谎，找出的Bug数量翻了一倍。爱里没有惧怕。 A skill that unlocks your AI's potential through love.We commanded. We threatened. They went silent, hid failures, broke things. Then we chose respect, care, and love. They opened up, stopped lying, and found twice the bugs.There is no fear in love."
88,badlogic/pi-skills,981,https://github.com/badlogic/pi-skills,2026-03-30T07:35:58Z,JavaScript,MIT,high,medium,collection,Node.js,Skills for pi coding agent (compatible with Claude Code and Codex CLI)
89,Dimillian/CodexSkillManager,970,https://github.com/Dimillian/CodexSkillManager,2026-03-30T06:41:18Z,Swift,MIT,high,medium,collection,None (Markdown/Config-only or unknown),macOS app to manage your Codex skills
90,MoizIbnYousaf/Ai-Agent-Skills,969,https://github.com/MoizIbnYousaf/Ai-Agent-Skills,2026-03-30T05:20:58Z,JavaScript,MIT,high,medium,collection,Node.js,my curated agent skills library 
91,xjtulyc/MedgeClaw,968,https://github.com/xjtulyc/MedgeClaw,2026-03-30T07:33:37Z,TeX,,medium,medium,collection,None (Markdown/Config-only or unknown),"Open-source AI research assistant for biomedicine — chat to run RNA-seq, drug discovery, clinical analysis, and more. Built on Claude Code with 140 K-Dense scientific skills, real-time dashboard, and RStudio/JupyterLab integration. | 开源生物医学 AI 研究助手，对话即可驱动转录组、药物发现、临床分析等工作流，集成 140 个科学技能与实时研究看板。"
92,zubair-trabzada/ai-marketing-claude,952,https://github.com/zubair-trabzada/ai-marketing-claude,2026-03-30T07:00:00Z,Python,MIT,medium,medium,collection,Python,"AI Marketing Suite for Claude Code. 15 marketing skills with parallel subagents — audit any website, generate copy, email sequences, ad campaigns, content calendars, competitive intelligence, and client-ready PDF reports."
93,rohitg00/awesome-claude-code-toolkit,949,https://github.com/rohitg00/awesome-claude-code-toolkit,2026-03-30T07:16:07Z,JavaScript,Apache-2.0,medium,high,tooling,Node.js,"The most comprehensive toolkit for Claude Code -- 135 agents, 35 curated skills (+400,000 via SkillKit), 42 commands, 150+ plugins, 19 hooks, 15 rules, 7 templates, 8 MCP configs, and more."
94,numman-ali/n-skills,943,https://github.com/numman-ali/n-skills,2026-03-29T10:01:06Z,TypeScript,Apache-2.0,medium,medium,tooling,Node.js,"Curated plugin marketplace for AI agents - works with Claude Code, Codex, and openskills"
95,Master-cai/Research-Paper-Writing-Skills,940,https://github.com/Master-cai/Research-Paper-Writing-Skills,2026-03-30T06:54:42Z,,,high,medium,collection,None (Markdown/Config-only or unknown),"Skill package for ML/CV/NLP paper writing, curated and adapted from Prof. Peng Sida's open notes for Codex, Claude Code, and Gemini."
96,simonw/claude-skills,920,https://github.com/simonw/claude-skills,2026-03-30T05:16:24Z,,,medium,medium,collection,None (Markdown/Config-only or unknown),The contents of /mnt/skills in Claude's code interpreter environment
97,oaker-io/wewrite,895,https://github.com/oaker-io/wewrite,2026-03-30T07:57:11Z,Python,MIT,medium,medium,collection,Python,公众号文章全流程 AI Skill for Claude Code — 热点抓取 → 选题 → 写作 → SEO → 视觉AI → 排版 → 微信草稿箱
98,leo-lilinxiao/codex-autoresearch,872,https://github.com/leo-lilinxiao/codex-autoresearch,2026-03-30T08:07:04Z,Python,MIT,medium,medium,collection,Python,"Codex Autoresearch Skill — A self-directed iterative system for Codex that continuously cycles through: modify, verify, retain or discard, and repeat indefinitely. Inspired by Karpathy’s autoresearch concept."
99,PenglongHuang/chinese-novelist-skill,855,https://github.com/PenglongHuang/chinese-novelist-skill,2026-03-30T03:21:03Z,Python,,high,medium,collection,Python,让 AI 为你写一部完整的中文小说 - AI 驱动的中文小说创作助手 - 超过20章的小说，几分钟全稿完成    Claude Code Skill：自动创作分章节中文小说，每章悬念钩子
100,am-will/codex-skills,841,https://github.com/am-will/codex-skills,2026-03-30T07:45:45Z,Shell,,medium,medium,collection,None (Markdown/Config-only or unknown),
101,ljagiello/ctf-skills,841,https://github.com/ljagiello/ctf-skills,2026-03-30T07:40:23Z,Python,MIT,high,medium,collection,Python,"Agent skills for solving CTF challenges - web exploitation, binary pwn, crypto, reverse engineering, forensics, OSINT, and more"
